City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,67.14,63.0,75.0,4.61,ZA,1675010582.0
1,cherskiy,68.75,161.3,-14.4,98.0,77.0,1.77,RU,1675010582.0
2,kodiak,57.79,-152.4072,35.11,100.0,100.0,0.0,US,1675010582.0
3,santa cruz,-17.8,-63.1667,82.45,74.0,75.0,14.97,BO,1675010583.0
4,rikitea,-23.1203,-134.9692,78.55,74.0,77.0,10.87,PF,1675010583.0
5,kavieng,-2.5744,150.7967,82.54,76.0,64.0,7.78,PG,1675010583.0
6,zalantun,48.0,122.7167,-6.45,92.0,4.0,5.55,CN,1675010583.0
7,sarakhs,36.5449,61.1577,42.89,49.0,76.0,3.58,IR,1675010583.0
8,kapaa,22.0752,-159.319,71.92,70.0,100.0,23.02,US,1675010583.0
10,te anau,-45.4167,167.7167,49.89,63.0,81.0,0.63,NZ,1675010584.0
11,vaini,-21.2,-175.2,75.36,94.0,20.0,0.0,TO,1675010584.0
12,mashhad,36.297,59.6062,39.34,56.0,0.0,6.91,IR,1675010584.0
13,ushuaia,-54.8,-68.3,49.66,87.0,100.0,21.85,AR,1675010584.0
14,albany,42.6001,-73.9662,42.73,72.0,100.0,6.55,US,1675010584.0
15,maku,39.2911,44.4521,31.57,90.0,85.0,1.01,IR,1675010584.0
16,puerto ayora,-0.7393,-90.3518,82.36,92.0,89.0,5.99,EC,1675010585.0
17,hobart,-42.8794,147.3294,60.66,87.0,100.0,5.75,AU,1675010356.0
18,tiksi,71.6872,128.8694,-35.01,97.0,90.0,7.4,RU,1675010585.0
19,skjervoy,70.0311,20.9714,32.0,67.0,100.0,18.66,NO,1675010585.0
23,bredasdorp,-34.5322,20.0403,67.62,55.0,99.0,19.64,ZA,1675010586.0
24,gizo,-8.103,156.8419,80.96,79.0,100.0,5.5,SB,1675010587.0
25,sawtell,-30.3833,153.1,77.02,83.0,100.0,6.91,AU,1675010587.0
26,tabory,58.5198,64.5495,14.34,91.0,41.0,8.08,RU,1675010587.0
27,new norfolk,-42.7826,147.0587,60.3,66.0,68.0,0.89,AU,1675010587.0
28,lagoa,39.05,-27.9833,57.65,70.0,94.0,14.47,PT,1675010587.0
29,korla,41.7597,86.1469,17.56,76.0,6.0,2.15,CN,1675010588.0
30,evanston,42.0411,-87.6901,24.35,84.0,100.0,13.8,US,1675010588.0
31,mataura,-46.1927,168.8643,50.22,76.0,54.0,2.28,NZ,1675010588.0
32,port alfred,-33.5906,26.891,71.19,57.0,94.0,1.99,ZA,1675010588.0
